id,name,state_id,lat,lng
862,Velluru,33,,
863,Viluppuram,33,12.92,79.13
864,Virappanchatram,33,11.95,79.49
865,Virudhachalam,33,11.4,77.7
866,Virudunagar,33,11.51,79.32
867,Agartala,16,9.59,77.95
868,Agartala MCl,16,23.84,91.27
869,Badharghat,16,,
870,Agra,9,,
871,Aligarh,9,27.19,78.01
872,Allahabad,9,27.89,78.06
873,Amroha,9,25.45,81.84
874,Aonla,9,28.91,78.46
875,Auraiya,9,28.28,79.15
876,Ayodhya,9,26.47,79.5
877,Azamgarh,9,26.8,82.2
878,Baheri,9,26.07,83.18
879,Bahraich,9,28.78,79.5
880,Ballia,9,27.58,81.59
881,Balrampur,9,25.76,84.15
882,Banda,9,27.43,82.18
883,Baraut,9,25.48,80.33
884,Bareilly,9,29.1,77.26
885,Basti,9,28.36,79.41
886,Behta Hajipur,9,26.8,82.74
887,Bela,9,,
888,Bhadohi,9,25.92,81.99
889,Bijnor,9,25.4,82.56
890,Bisalpur,9,29.38,78.13
891,Biswan,9,28.3,79.8
892,Budaun,9,27.5,81
893,Bulandshahr,9,28.04,79.12
894,Chandausi,9,28.41,77.85
895,Chandpur,9,28.46,78.78
896,Chhibramau,9,29.14,78.27
897,Chitrakut Dham,9,27.15,79.52
898,Dadri,9,25.2,80.84
899,Deoband,9,28.57,77.55
900,Deoria,9,29.7,77.67
901,Etah,9,26.51,83.78
902,Etawah,9,27.57,78.64
903,Faizabad,9,26.78,79.01
904,Faridpur,9,26.78,82.14
905,Farrukhabad,9,28.22,79.53
906,Fatehpur,9,27.4,79.57
907,Firozabad,9,25.93,80.81
908,Gajraula,9,27.15,78.39
909,Ganga Ghat,9,28.85,78.23
910,Gangoh,9,26.52,80.45
911,Ghaziabad,9,29.77,77.25
912,Ghazipur,9,28.66,77.41
913,Gola Gokarannath,9,25.59,83.59
914,Gonda,9,28.08,80.47
915,Gorakhpur,9,27.14,81.95
916,Hapur,9,26.76,83.36
917,Hardoi,9,28.73,77.77
918,Hasanpur,9,27.42,80.12
919,Hathras,9,28.72,78.28
920,Jahangirabad,9,27.6,78.04
921,Jalaun,9,28.42,78.1
922,Jaunpur,9,26.15,79.35
923,Jhansi,9,25.76,82.69
924,Kadi,9,25.45,78.56
925,Kairana,9,23.31,72.33
926,Kannauj,9,29.4,77.2
927,Kanpur,9,27.06,79.91
928,Kanpur Cantonment,9,26.47,80.33
929,Kasganj,9,26.5,80.28
930,Khatauli,9,27.81,78.63
931,Khora,9,29.28,77.72
932,Khurja,9,,
933,Kiratpur,9,28.26,77.85
934,Kosi Kalan,9,29.52,78.2
935,Laharpur,9,27.8,77.44
936,Lakhimpur,9,27.72,80.9
937,Lucknow,9,27.95,80.78
938,Lucknow Cantonment,9,26.85,80.92
939,Lalitpur,9,26.81,80.97
940,Loni,9,24.7,78.41
941,Mahoba,9,28.75,77.28
942,Mainpuri,9,25.3,79.87
943,Mathura,9,27.24,79.02
944,Mau,9,27.5,77.68
945,Mauranipur,9,25.96,83.56
946,Mawana,9,25.24,79.13
947,Meerut,9,29.11,77.91
948,Meerut Cantonment,9,28.99,77.7
949,Mirzapur,9,29.02,77.67
950,Modinagar,9,25.16,82.56
951,Moradabad,9,28.92,77.62
952,Mubarakpur,9,28.84,78.76
953,Mughal Sarai,9,26.09,83.28
954,Muradnagar,9,25.3,83.12
955,Muzaffarnagar,9,28.78,77.5
956,Nagina,9,,
957,Najibabad,9,29.48,77.69
958,Nawabganj,9,29.45,78.43
959,Noida,9,29.62,78.33
960,Obra,9,26.94,81.19
961,Orai,9,28.58,77.33
962,Pilibhit,9,24.42,82.98
963,Pilkhuwa,9,25.99,79.45
964,Raebareli,9,28.64,79.81
965,Ramgarh Nagla Kothi,9,28.72,77.65
966,Rampur,9,26.23,81.23
967,Rath,9,,
968,Renukut,9,28.82,79.02
969,Saharanpur,9,25.58,79.57
970,Sahaswan,9,24.2,83.03
971,Sambhal,9,29.97,77.54
972,Sandila,9,28.08,78.74
973,Shahabad,9,28.59,78.56
974,Shahjahanpur,9,27.08,80.52
975,Shamli,9,27.65,79.95
976,Sherkot,9,27.88,79.9
977,Shikohabad,9,29.46,77.31
978,Sikandarabad,9,29.35,78.58
979,Sitapur,9,27.12,78.58
980,Sukhmalpur Nizamabad,9,28.44,77.69
981,Sultanpur,9,27.57,80.69
982,Tanda,9,,
983,Tilhar,9,26.26,82.06
984,Tundla,9,26.55,82.65
985,Ujhani,9,27.98,79.73
986,Unnao,9,27.2,78.28
987,Varanasi,9,28.02,79.02
988,Vrindavan,9,26.55,80.49
989,Dehradun,5,25.32,83.01
990,Dehra Dun Cantonment,5,27.58,77.7
991,Gola Range,5,30.34,78.05
992,Haldwani,5,30.34,77.97
993,Haridwar,5,,
994,Kashipur,5,29.23,79.52
995,Pithoragarh,5,29.98,78.16
996,Rishikesh,5,29.22,78.96
997,Rudrapur,5,29.58,80.22
998,Roorkee,5,30.12,78.29
999,Ankleshwar,24,,
1000,Behror,8,29.87,77.89
1001,Examba,29,16.53,74.6
1002,Miraj,27,16.82,74.64
1003,New Delhi,7,28.61,77.21
1004,Pratapgarh,9,25.9,81.96
1005,Sabarkantha,24,23.85,72.99
1006,Sindhudurg,27,16.35,73.56
1007,Silvassa,26,20.28,73
1008,Udham Singh Nagar,5,28.96,79.52
1009,Pauri Garhwal,5,29.87,78.84
1010,Lonavala,27,18.75,73.4
1011,Mehsana,24,23.59,72.37
1012,Dharwad,29,,
1013,Jaspur,9,,
1014,Kichha,5,,
1015,Nainital,5,29.38,79.46
1016,Bazpur,5,,
1017,Chandauli,9,25.18,83.29
