id,name,type_id,harmonic_id,discount,mrp,unit,gst,description
60,Coffee G111,1,1,50,750,Ltr,18,
61,Cognac Brandy,1,1,50,500,Ltr,18,
62,Cola Champagne,1,1,50,800,Ltr,18,
63,Cola Paste,1,1,50,200,Ltr,18,
64,Cola Paste NN,1,1,50,200,Ltr,18,
65,Creamy Milk Toffee,1,1,50,775,Ltr,18,
66,Cumin,1,1,50,1125,Ltr,18,
67,Custard Apple,1,1,50,1125,Ltr,18,
68,Dates,1,1,50,500,Ltr,18,
69,Desi Ghee,1,1,50,950,Ltr,18,
70,Eclair Delite,1,1,50,975,Ltr,18,
71,Egg Milk Toffee Classic,1,1,50,625,Ltr,18,
72,Egg Milk Toffee Spl.,1,1,50,800,Ltr,18,
73,Fruit Mixed,1,1,50,500,Ltr,18,
74,Fruit Mixed 038 PB,1,1,50,550,Ltr,18,
75,Garlic,1,1,50,675,Ltr,18,
76,Ginger Conc.,1,1,50,1200,Ltr,18,
77,Grape,1,1,50,900,Ltr,18,
78,Guava Classic,1,1,50,1350,Ltr,18,
79,Gulkand,1,1,50,1200,Ltr,18,
80,Jackfruit,1,1,50,800,Ltr,18,
81,Jeera Conc.,1,1,50,650,Ltr,18,
82,Jeera For Biscuit,1,1,50,525,Ltr,18,
83,Kalakhatta LX,1,1,50,725,Ltr,18,
84,Kesar Badam,1,1,50,1200,Ltr,18,
85,Kesar Elaichi,1,1,50,2700,Ltr,18,
86,Kesar Malai,1,1,50,1875,Ltr,18,
87,Kesar Pista,1,1,50,1425,Ltr,18,
88,Kewra Conc.,1,1,50,1400,Ltr,18,
89,Kewra Excellent,1,1,50,600,Ltr,18,
90,Kewra MB Popular,1,1,50,575,Ltr,18,
91,Khus,1,1,50,575,Ltr,18,
92,Kotha,1,1,50,450,Ltr,18,
